Summary,Issue Type,Description,Parent Summary
Trip Planning Core,Epic,"Core trip planning functionality including trip creation, feasibility analysis, and itinerary generation.",
Smart Trip Creation Form,Task,"As a user, I want to create trips with destination autocomplete, date picker, traveler composition, budget, and travel style so that I can plan my trip efficiently.

Acceptance Criteria:
- Destination autocomplete with city suggestions
- Date range picker with flexible date options
- Traveler composition (adults, children, infants)
- Budget input with currency selection
- Travel style selection (budget, comfort, luxury)",Trip Planning Core
Feasibility Analysis Engine,Task,"As a user, I want the system to analyze my trip feasibility so that I know if my trip is possible before planning.

Acceptance Criteria:
- Visa requirement detection based on passport
- Safety assessment for destination
- Budget validation against typical costs
- Accessibility check
- Clear Go/Possible/No verdict",Trip Planning Core
Certainty Score Calculation,Task,"As a user, I want to see a 0-100 certainty score so that I understand how confident the system is about my trip.

Acceptance Criteria:
- Visa component (0-30 points)
- Accessibility component (0-25 points)
- Safety component (0-25 points)
- Budget adequacy (0-20 points)
- Visual score display with breakdown",Trip Planning Core
AI Itinerary Generation,Task,"As a user, I want AI-generated day-by-day itineraries so that I have a complete trip plan.

Acceptance Criteria:
- Day-by-day activities with times
- Cost estimates per activity
- Transport options between activities
- Local food recommendations
- Morning/Afternoon/Evening grouping",Trip Planning Core
Trip Results UI,Epic,"Premium trip results page with two-column layout, interactive map, and expandable day cards (Mindtrip-style).",
Two-Column Results Layout,Task,"As a user, I want a clean two-column layout for viewing my trip results so that I can see both the itinerary and map simultaneously.

Acceptance Criteria:
- Left column (7/12): Day cards with activities
- Right column (5/12): Sticky map and panels
- Responsive design for mobile
- Smooth scrolling with sticky headers",Trip Results UI
Interactive Day Cards,Task,"As a user, I want expandable day cards grouped by time slots so that I can easily browse my daily activities.

Acceptance Criteria:
- Morning/Afternoon/Evening activity grouping
- Expand/collapse individual days
- Global expand/collapse all toggle
- Activity costs displayed (Free or $amount)
- Transport icons between activities",Trip Results UI
Interactive Itinerary Map,Task,"As a user, I want an interactive map showing my activities so that I can visualize my trip geographically.

Acceptance Criteria:
- Map markers for all activities
- Hover sync between day cards and map
- Click marker to scroll to activity
- Cluster markers when zoomed out
- Walking distance display (<5km only)",Trip Results UI
Certainty Bar Component,Task,"As a user, I want a sticky certainty bar showing visa status and score so that I always see my trip feasibility.

Acceptance Criteria:
- Visa status badge (visa-free, visa-required, etc.)
- Certainty score with visual indicator
- Expandable visa details panel
- Processing time display
- Documents required list",Trip Results UI
Right Rail Panels,Task,"As a user, I want collapsible panels for costs, action items, and chat so that I can access detailed information on demand.

Acceptance Criteria:
- True Cost breakdown panel (open by default)
- Action Items panel with Required/Recommended sections
- AI Chat panel (lazy loaded, closed by default)
- Accordion behavior (multiple can be open)
- Smooth animations",Trip Results UI
AI Chat Assistant,Epic,"Conversational AI for itinerary modifications with pending changes confirmation flow.",
Chat Interface for Modifications,Task,"As a user, I want to chat with AI to modify my itinerary so that I can customize my trip naturally.

Acceptance Criteria:
- Natural language input (Add a cooking class)
- AI understands context of current trip
- Suggestions appear as pending changes
- Message history preserved",AI Chat Assistant
Pending Changes Confirmation,Task,"As a user, I want to confirm or reject AI suggestions before they are applied so that I have control over changes.

Acceptance Criteria:
- Changes shown as preview cards
- Accept/Reject buttons per change
- Batch accept all option
- Clear diff view showing what changes
- Undo after applying",AI Chat Assistant
Quick Action Chips,Task,"As a user, I want one-click quick actions so that I can make common modifications easily.

Acceptance Criteria:
- +1 day / -1 day duration chips
- Cheaper options budget chip
- Add free activity chip
- Add beach day style chip
- Chips contextual to current trip",AI Chat Assistant
Change Planner Agent,Epic,"Smart agent that detects user changes, recomputes only impacted modules, and explains deltas.",
Change Detection System,Task,"As a system, I want to detect what changed when user modifies trip inputs so that I can determine what needs recomputation.

Acceptance Criteria:
- Detect changes in dates, budget, destination, group size
- Identify impacted modules (visa, costs, itinerary)
- Calculate minimal recomputation plan
- Track change source (inline edit, quick chip, fix blocker)",Change Planner Agent
Delta Explanation Banner,Task,"As a user, I want to see what changed after modifications so that I understand the impact.

Acceptance Criteria:
- Certainty delta display (+8% or -5%)
- Cost delta display (+$150 or -$200)
- Blocker resolution chips (2 resolved)
- Auto-dismiss after 5 seconds
- Undo button",Change Planner Agent
